year,Comuna,habitantes
2016,1,"252,053"
2016,2,"149,848"
2016,3,"192,573"
2016,4,"238,303"
2016,5,"186,740"
2016,6,"184,611"
2016,7,"240,116"
2016,8,"225,737"
2016,9,"170,353"
2016,10,"170,163"
2016,11,"189,956"
2016,12,"213,576"
2016,13,"235,819"
2016,14,"226,884"
2016,15,"182,390"
2017,1,"253,271"
2017,2,"149,720"
2017,3,"192,763"
2017,4,"238,809"
2017,5,"186,956"
2017,6,"184,846"
2017,7,"240,607"
2017,8,"226,649"
2017,9,"170,605"
2017,10,"170,282"
2017,11,"189,986"
2017,12,"213,914"
2017,13,"235,967"
2017,14,"226,944"
2017,15,"182,409"
2018,1,"254,408"
2018,2,"149,607"
2018,3,"192,945"
2018,4,"239,279"
2018,5,"187,159"
2018,6,"185,067"
2018,7,"241,065"
2018,8,"227,495"
2018,9,"170,842"
2018,10,"170,394"
2018,11,"190,016"
2018,12,"214,229"
2018,13,"236,107"
2018,14,"227,003"
2018,15,"182,427"
2019,1,"255,457"
2019,2,"149,510"
2019,3,"193,115"
2019,4,"239,712"
2019,5,"187,348"
2019,6,"185,271"
2019,7,"241,484"
2019,8,"228,266"
2019,9,"171,062"
2019,10,"170,497"
2019,11,"190,046"
2019,12,"214,518"
2019,13,"236,238"
2019,14,"227,060"
2019,15,"182,445"
2020,1,"256,405"
2020,2,"149,430"
2020,3,"193,276"
2020,4,"240,100"
2020,5,"187,518"
2020,6,"185,456"
2020,7,"241,861"
2020,8,"228,953"
2020,9,"171,264"
2020,10,"170,592"
2020,11,"190,076"
2020,12,"214,777"
2020,13,"236,358"
2020,14,"227,115"
2020,15,"182,465"
2021,1,"257,235"
2021,2,"149,371"
2021,3,"193,425"
2021,4,"240,437"
2021,5,"187,670"
2021,6,"185,620"
2021,7,"242,188"
2021,8,"229,541"
2021,9,"171,444"
2021,10,"170,677"
2021,11,"190,105"
2021,12,"215,002"
2021,13,"236,468"
2021,14,"227,168"
2021,15,"182,485"
2022,1,"257,934"
2022,2,"149,337"
2022,3,"193,560"
2022,4,"240,716"
2022,5,"187,800"
2022,6,"185,760"
2022,7,"242,460"
2022,8,"230,018"
2022,9,"171,600"
2022,10,"170,750"
2022,11,"190,135"
2022,12,"215,189"
2022,13,"236,566"
2022,14,"227,219"
2022,15,"182,506"
2023,1,"258,497"
2023,2,"149,328"
2023,3,"193,682"
2023,4,"240,937"
2023,5,"187,907"
2023,6,"185,875"
2023,7,"242,674"
2023,8,"230,380"
2023,9,"171,733"
2023,10,"170,811"
2023,11,"190,165"
2023,12,"215,335"
2023,13,"236,650"
2023,14,"227,268"
2023,15,"182,528"
